Gene	G1_0	G1_1	G2_0	G2_1	G2_2	G2_3	G3_0	G4_0	G4_1	G4_2	G4_3	G4_4	G5_0	G5_1	G5_2	G5_3	G6_0	G6_1	G6_2
7SK	180	207	524	156	125	347	48	379	395	1365	479	397	146	174	196	234	106	110	333
7SK,CTC-340D7.1,CTC-498J12.1,RP11-141O11.2	360	85	280	230	71	181	26	118	166	710	137	160	288	77	281	119	69	226	138
A1BG	23	18	114	43	18	41	7	192	64	192	44	65	45	28	39	35	14	21	26
A1CF	0	4	1	2	0	2	0	2	0	1	0	1	0	0	0	1	0	0	1
A2LD1	98	43	162	68	46	73	84	37	58	213	56	64	189	39	90	57	126	66	73
A2M	424	297	1453	795	81	784	1045	1092	790	2646	266	441	1538	334	1086	274	1017	760	471
A2ML1	27	13	162	56	5	24	165	2	8	28	15	29	272	14	37	12	266	3	46
A2ML1-AS1	6	3	8	0	0	0	0	4	1	8	5	9	1	1	11	3	4	2	0
A2MP1	0	1	1	0	0	5	2	0	4	3	1	0	2	3	0	0	3	1	0
A3GALT2P	1	4	3	1	1	1	1	1	5	7	2	0	1	1	1	3	3	0	5
A4GALT	2140	1015	3082	2695	984	1908	2654	887	1599	5016	1157	1740	4804	1990	3435	803	2910	2471	1246
A4GNT	1	0	0	2	4	2	0	9	2	2	1	3	0	0	0	0	0	0	2
AAAS	1074	982	2703	688	636	1617	585	2283	1323	4479	1229	1327	1317	979	1056	804	918	1018	1041
AACP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AACS	1243	1111	2310	649	496	1457	974	768	920	4212	1041	1314	1731	901	985	614	1841	969	1028
AACSP1	37	11	26	4	9	22	0	123	10	96	15	70	3	37	1	6	0	11	14
AADAC	134	120	445	252	83	126	39	226	108	381	95	158	165	250	184	111	85	108	137
AADACL2	183	80	351	68	70	191	29	91	171	812	136	153	68	249	84	266	42	117	182
AADACL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
AADAT	367	269	1302	82	227	578	61	675	683	2467	594	664	144	467	178	455	92	266	425
AAED1	824	399	1824	429	243	654	184	627	909	3140	652	552	439	572	512	711	224	560	809
AAGAB	1543	1190	3197	1138	783	1447	1302	1316	1687	6026	1315	1354	1934	1176	1404	1069	1950	1416	1345
AAK1,AC114772.1	868	600	1425	750	481	908	657	763	868	3462	671	872	1203	718	834	540	1003	692	704
AAMP	2727	2163	5424	1520	1177	2840	2281	2044	2604	9167	2146	2391	3357	2226	2590	1736	2626	2448	2269
AANAT	4	2	3	11	3	0	1	2	1	3	0	0	8	1	5	0	8	1	5
AARD	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	0	1	0
AARS,EXOSC6	4159	2801	6811	1473	1556	3938	2002	3109	3831	14292	2849	3595	2869	2746	2460	2765	3082	3317	3011
AARS2,TCTE1	3257	2648	7621	988	1186	3499	437	3948	3268	13619	2685	3577	1955	2574	2403	2445	1370	2328	2875
AARSD1	637	538	1403	379	424	749	326	691	654	2691	610	661	750	623	587	406	557	650	565
AASDH	597	350	1012	202	308	663	254	382	567	1827	514	568	378	444	343	565	356	410	419
AASDHPPT	1522	797	2574	544	657	1476	646	916	1509	4872	1273	1286	941	907	835	1254	905	963	938
AASS	790	672	2093	291	487	1437	325	931	1657	4527	1590	1274	586	858	516	951	1064	475	906
AATF	1025	639	2182	672	443	1046	624	748	965	3663	771	820	895	867	782	739	831	1024	810
AATK	11	30	52	107	11	18	12	27	71	120	30	14	68	15	42	9	92	9	17
AATK-AS1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
AB015752.3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AB015752.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AB019438.63	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AB019441.29	0	0	1	0	1	1	0	0	0	2	0	0	0	1	3	0	0	2	0
ABAT	1795	941	3224	811	346	1132	470	1055	1143	6505	1104	1279	979	1357	793	1152	777	858	1265
ABC11-48400900C8.1	0	0	2	0	1	1	0	0	1	4	1	1	2	1	1	1	1	1	1
ABC12-49244600F4.3	131	73	177	84	43	250	54	162	214	578	265	202	145	90	88	112	138	98	133
ABC7-42389800N19.1	739	721	800	450	394	1098	291	1007	1235	2044	634	765	1297	799	710	366	454	267	515
ABCA1	300	145	444	1066	119	513	541	748	736	798	244	381	670	249	417	308	1488	272	275
ABCA10,ABCA5	3767	2061	9396	1153	1261	4498	1459	3762	5376	18254	4051	4130	2283	2196	2542	4179	2549	3044	4151
ABCA12	114	23	314	291	19	43	235	58	91	237	57	85	435	40	113	42	325	57	567
ABCA13	17464	9041	58086	4269	5835	21472	1527	14534	31990	87541	25707	21024	6277	12164	7119	27611	23409	9553	24217
