Object	DM1	DM10	DM11	DM12	DM13	DM14	DM15	DM16	DM17	DM2	DM3	DM4	DM5	DM6	DM7	DM8	DM9	SN1	SN10	SN2	SN3	SN4	SN5	SN6	SN7	SN8	SN9							
IPI:IPI00022434	8647	9659	8766	9928	7297	9498	7969	8118	9457	9185	6766	8413	9260	9236	9642	8457	9450	9833	9767	9095	13213	9074	9948	8459	10263	11612	8523							
IPI:IPI00384697	6277	7446	6576	7412	5536	7045	6229	6670	7294	6719	5455	6055	7197	7302	7642	6433	7193	7137	7576	7125	9779	7127	7334	6294	7286	8728	6532							
IPI:IPI00216773	6095	6920	6269	7083	4930	6653	5996	5795	7012	6598	4875	5918	6486	5862	6086	5939	6682	6988	7054	6660	9706	6931	7004	6375	7410	8306	6147							
IPI:IPI00164623	1945	2864	2248	3571	2442	2757	2599	3366	3093	3073	2992	3134	3263	3223	2642	3008	3712	2470	2320	2896	3636	2415	2191	2262	2797	2800	2604							
IPI:IPI00022463	2970	2358	2250	3207	1425	2270	2172	2908	3346	2936	1756	2104	2459	2316	1622	2516	3523	3183	4285	3224	3185	2979	2623	3001	3609	4019	3653							
IPI:IPI00423445	2595	2362	2609	3143	2029	2649	1849	2238	2972	2887	1939	2036	1764	2334	1820	2475	2254	2818	3875	2958	2753	3143	2517	3452	3071	3611	3108							
IPI:IPI00439447	2581	2364	2598	3136	2022	2640	1851	2232	2968	2876	1939	2025	1750	2329	1833	2461	2244	2798	3876	2951	2741	3133	2510	3460	3075	3617	3128							
IPI:IPI00426007	2579	2366	2596	3135	2017	2636	1849	2229	2965	2876	1938	2025	1747	2327	1830	2457	2242	2792	3871	2949	2739	3130	2511	3455	3073	3616	3128							
IPI:IPI00423463	2578	2364	2596	3131	2017	2636	1849	2229	2967	2876	1938	2024	1747	2326	1829	2457	2242	2792	3869	2947	2735	3128	2510	3456	3072	3614	3127							
IPI:IPI00448925	2581	2354	2595	3130	2017	2640	1852	2233	2968	2877	1940	2022	1748	2315	1822	2456	2245	2796	3875	2948	2741	3136	2518	3446	3068	3606	3108							
IPI:IPI00549769	2580	2353	2596	3130	2017	2643	1849	2233	2967	2877	1940	2022	1748	2314	1822	2458	2244	2795	3875	2947	2739	3135	2516	3448	3070	3608	3109							
IPI:IPI00384938	2578	2361	2594	3129	2013	2640	1848	2229	2963	2874	1937	2021	1747	2324	1827	2458	2242	2791	3870	2946	2733	3126	2510	3454	3070	3615	3126							
IPI:IPI00550367	2578	2361	2594	3129	2013	2636	1847	2229	2963	2874	1937	2021	1747	2324	1827	2456	2242	2791	3869	2949	2733	3128	2510	3456	3067	3614	3126							
IPI:IPI00423466	2578	2361	2594	3129	2013	2636	1847	2229	2963	2874	1937	2021	1747	2324	1827	2456	2242	2791	3869	2947	2733	3127	2510	3453	3066	3614	3126							
IPI:IPI00550438	2581	2353	2597	3132	2017	2639	1848	2228	2965	2876	1939	2021	1750	2312	1822	2457	2246	2792	3873	2949	2736	3133	2514	3445	3071	3603	3107							
IPI:IPI00550945	2581	2357	2598	3133	2018	2637	1848	2228	2962	2875	1939	2021	1750	2313	1823	2456	2246	2793	3868	2950	2736	3130	2510	3445	3068	3602	3103							
IPI:IPI00550647	2578	2351	2595	3132	2016	2638	1847	2228	2964	2874	1937	2021	1749	2312	1824	2458	2243	2791	3871	2946	2734	3127	2510	3445	3063	3597	3103							
IPI:IPI00549654	2579	2351	2595	3129	2013	2637	1847	2228	2962	2874	1939	2021	1748	2310	1820	2455	2249	2791	3867	2949	2734	3131	2510	3445	3064	3599	3103							
IPI:IPI00472762	2579	2351	2595	3127	2013	2637	1847	2228	2962	2874	1939	2021	1748	2310	1820	2455	2244	2791	3869	2947	2734	3132	2510	3444	3064	3599	3104							
IPI:IPI00550462	2579	2351	2595	3127	2014	2637	1847	2228	2962	2874	1939	2021	1748	2310	1820	2455	2244	2791	3867	2947	2734	3130	2514	3443	3064	3599	3103							
IPI:IPI00385332	2579	2351	2595	3127	2013	2637	1847	2228	2962	2874	1939	2021	1748	2310	1820	2455	2244	2791	3867	2947	2734	3130	2510	3445	3064	3599	3103							
IPI:IPI00550509	2579	2351	2595	3128	2013	2637	1847	2228	2962	2874	1939	2021	1748	2311	1820	2455	2244	2791	3867	2947	2734	3130	2510	3443	3064	3599	3103							
IPI:IPI00550142	2579	2351	2595	3127	2013	2637	1847	2228	2962	2874	1939	2021	1748	2310	1820	2455	2244	2791	3867	2947	2734	3130	2510	3443	3064	3599	3103							
IPI:IPI00472610	2584	2333	2585	3115	2015	2618	1851	2236	2963	2884	1942	2020	1750	2300	1823	2448	2224	2794	3869	2950	2736	3130	2511	3452	3080	3603	3105							
IPI:IPI00426057	2576	2328	2581	3113	2011	2613	1847	2227	2962	2873	1939	2018	1748	2298	1820	2442	2221	2791	3865	2945	2730	3129	2509	3444	3068	3600	3105							
IPI:IPI00550751	2576	2328	2580	3113	2011	2610	1849	2229	2962	2873	1939	2018	1748	2296	1820	2440	2221	2791	3865	2944	2730	3129	2509	3442	3064	3598	3104							
IPI:IPI00448984	2577	2328	2580	3114	2011	2610	1847	2227	2962	2873	1939	2018	1748	2296	1820	2440	2221	2789	3865	2944	2730	3128	2509	3442	3065	3600	3103							
