Sample	chr11:70319544-70313962:-	chr11:70333825-70331419:-	chr11:70335453-70335433:-	chr11:70336492-70336271:-	chr11:70338570-70338440:-	chr11:70346698-70346675:-	chr11:70348391-70348311:-	chr11:70349036-70348901:-	chr11:70506057-70505933:-	chr11:70507923-70507701:-	SHANK2
TCGA-BA-4074-01A	1.2842	0.3081	0.0049	0.1325	0.2142	0.0000	0.2211	0.3898	0.9410	0.3009	1.6755
TCGA-BA-4075-01A	1.9845	0.8815	0.0000	0.2408	0.6810	0.0000	0.4999	0.6341	0.9998	0.4936	2.3382
TCGA-BA-4076-01A	0.4545	0.2896	0.0000	0.1951	0.1975	0.0000	0.3217	0.3264	0.5995	0.2538	0.5475
TCGA-BA-4077-01B	1.1679	0.9369	0.0000	0.1895	0.9553	0.0000	0.9018	1.0970	0.8088	0.3872	1.4633
TCGA-BA-4078-01A	2.1782	1.0946	0.0000	0.4481	0.7640	0.0000	0.7404	0.9571	1.2080	0.4893	2.3725
TCGA-BA-5149-01A	5.4917	4.7284	0.0698	1.4982	3.8523	0.2442	3.7754	4.2124	6.0567	1.9401	7.5242
TCGA-BA-5151-01A	0.8228	0.7674	0.0427	0.2891	0.7225	0.0075	0.4824	0.4969	1.0970	0.5707	1.2185
TCGA-BA-5152-01A	0.3065	0.0714	0.0000	0.0000	0.0000	0.0000	0.0000	0.0665	0.0000	0.0341	0.2753
TCGA-BA-5153-01A	0.0133	0.0000	0.0000	0.0000	0.0706	0.0000	0.0000	0.0000	0.1480	0.0268	0.0189
TCGA-BA-5555-01A	0.1847	0.1073	0.0000	0.0369	0.3134	0.0000	0.2527	0.1195	0.1474	0.0390	0.2221
TCGA-BA-5556-01A	0.2482	0.4206	0.0000	0.0593	0.1917	0.0000	0.4229	0.3406	0.6758	0.2001	0.4896
TCGA-BA-5557-01A	0.4877	0.6960	0.0000	0.2662	0.3328	0.0000	0.3727	0.4766	0.5083	0.2049	0.9662
TCGA-BA-5558-01A	0.8366	1.2549	0.0248	0.4280	0.7154	0.0000	0.9771	0.8566	1.1122	0.4226	1.4968
TCGA-BA-5559-01A	0.0499	0.0643	0.0000	0.0232	0.0435	0.0000	0.1048	0.0395	0.0498	0.0000	0.0774
