HOMERcalled.RefSeq.ID,SH.1.promoter.count,SH.1.promoter.50bp,SH.1.promoter.density,SH.1.promoter.StartSite,SH.1.body.count,SH.1.mapped.length,SH.1.body.density,SH.1.body.StartSite,SH.1.pausing.ratio,SH.2.promoter.count,SH.2.promoter.50bp,SH.2.promoter.density,SH.2.promoter.StartSite,SH.2.body.count,SH.2.mapped.length,SH.2.body.density,SH.2.body.StartSite,SH.2.pausing.ratio,SH-1-Pausing-pValue,SH-2-Pausing-pValue,SH-1-2-Change-pValue
NM_001005523,1946,50,38.92,124199336,2741,12568,0.218093571,124198421,178.4555126,1328,50,26.56,124199336,2776,13219,0.210000756,124198421,126.4757349,0,0,3.32E-16
NM_001005525,1946,50,38.92,124199336,3438,16295,0.210984965,124198421,184.468121,1328,50,26.56,124199336,3495,17225,0.202902758,124198421,130.9001431,0,0,6.55E-18
NM_001079694,1078,50,21.56,82046491,1183,3349,0.353239773,82047491,61.03502959,1116,50,22.32,82046491,1110,3302,0.336159903,82047491,66.39697297,0,0,0.363889037
NM_001079695,1078,50,21.56,82046491,1183,3349,0.353239773,82047491,61.03502959,1116,50,22.32,82046491,1110,3302,0.336159903,82047491,66.39697297,0,0,0.363889037
NM_001100449,1644,50,32.88,14941754,1228,28772,0.042680384,14942754,770.377329,1253,50,25.06,14941754,875,23458,0.037300708,14942754,671.83712,0,0,0.58680223
NM_001102458,3219,50,64.38,38449026,4670,26589,0.175636541,38448021,366.552424,2338,50,46.76,38449026,3344,25626,0.130492469,38448021,358.3348565,0,0,0.933785525
NM_001159375,1750,50,35,69485825,3143,3537,0.888606163,69484925,39.38752784,1891,50,37.82,69485825,2734,3583,0.763047725,69484925,49.56439649,0,0,1.93E-05
NM_001163818,1996,50,39.92,36053926,17618,11106,1.586349721,36055141,25.16469066,2293,50,45.86,36053926,17461,11051,1.580038006,36055141,29.02461829,0,0,0.00022504
NM_001185162,1109,50,22.18,32247353,417,4422,0.094301221,32248313,235.203741,999,50,19.98,32247333,376,4537,0.082874146,32248313,241.0884574,0,0,1
NM_007589,1612,50,32.24,87846210,2659,10626,0.250235272,87845275,128.8387514,1748,50,34.96,87846210,2462,10758,0.228852947,87845275,152.7618522,0,0,0.007120123
NM_007591,1212,50,24.24,87370775,804,3549,0.226542688,87369830,106.9997015,1060,50,21.2,87370775,717,3571,0.200784094,87369830,105.586053,0,0,0.978256277
NM_007594,1648,50,32.96,29298199,3651,22893,0.159481064,29299119,206.670304,1296,50,25.92,29298174,3887,23680,0.164146959,29299119,157.9072807,0,0,9.66E-10
NM_008495,1980,50,39.6,78757155,2716,2566,1.058456742,78758155,37.41296024,2200,50,44,78757155,2197,2587,0.849246231,78758155,51.81065089,0,0,1.87E-11
NM_008503,1222,50,24.44,24857053,396,606,0.653465347,24858008,37.40060606,1582,50,31.64,24857053,350,601,0.582362729,24858008,54.3304,0,0,0.000185658
NM_008655,1756,50,35.12,80392816,105,936,0.112179487,80393836,313.0697143,1331,50,26.62,80392816,119,856,0.139018692,80393836,191.485042,0,0,0.044207336
NM_009159,1078,50,21.56,82046491,1183,3349,0.353239773,82047491,61.03502959,1116,50,22.32,82046491,1110,3302,0.336159903,82047491,66.39697297,0,0,0.363889037
NM_009194,1774,50,35.48,58038292,6408,52372,0.122355457,58039332,289.9748065,1238,50,24.76,58038292,6857,55228,0.124158036,58039332,199.423258,0,0,7.80E-23
NM_009716,2680,50,53.6,80085924,2068,1358,1.522827688,80086614,35.19767892,2722,50,54.44,80085919,1638,1350,1.213333333,80086614,44.86813187,0,0,6.66E-07
NM_009810,1450,50,29,47702788,2085,15822,0.131778536,47703803,220.0661871,1086,50,21.72,47702788,2071,16745,0.12367871,47703803,175.6163206,0,0,2.47E-06
NM_009930,1477,50,29.54,45368473,10552,33875,0.311498155,45369383,94.83202237,1638,50,32.76,45368473,15421,35624,0.432882327,45369383,75.67876532,0,0,1.46E-10
NM_010499,1496,50,29.92,87186751,309,515,0.6,87185751,49.86666667,1172,50,23.44,87186751,312,522,0.597701149,87185751,39.21692308,0,0,0.049047323
NM_010828,1393,50,27.86,17443029,548,1271,0.43115657,17444034,64.61689781,2028,50,40.56,17443024,539,1193,0.451802179,17444034,89.77380334,0,0,2.01E-06
NM_018745,3219,50,64.38,38449026,4670,26589,0.175636541,38448021,366.552424,2338,50,46.76,38449026,3344,25626,0.130492469,38448021,358.3348565,0,0,0.933785525
NM_019869,1227,50,24.54,4811604,1409,7937,0.177522994,4810634,138.2356139,1293,50,25.86,4811604,1183,8041,0.147121005,4810634,175.7736771,0,0,0.001447491
NM_021510,2513,50,50.26,50191266,3686,7139,0.516318812,50192221,97.34295714,1705,50,34.1,50191266,3655,7379,0.49532457,50192221,68.84374829,0,0,1.35E-19
NM_022891,1352,50,27.04,97643698,2211,3387,0.65279008,97642753,41.4221981,1296,50,25.92,97643698,2020,3462,0.583477759,97642753,44.42328713,0,0,0.679827283
NM_024193,1820,50,36.4,130100208,1135,3074,0.369225764,130101148,98.5846696,1253,50,25.06,130100208,895,3157,0.283496991,130101148,88.396,0,0,0.12458178
NM_025438,1946,50,38.92,124199336,3438,16295,0.210984965,124198421,184.468121,1328,50,26.56,124199336,3495,17225,0.202902758,124198421,130.9001431,0,0,6.55E-18
NM_025880,1331,50,26.62,51502157,632,3403,0.185718484,51503092,143.3352215,967,50,19.34,51502157,528,3274,0.161270617,51503092,119.9226515,0,0,0.264208807
NM_026005,1556,50,31.12,10801245,469,9125,0.05139726,10802645,605.4797441,1503,50,30.06,10801245,446,9320,0.047854077,10802645,628.1596413,0,0,0.99968089
NM_026898,1136,50,22.72,32247354,416,4396,0.094631483,32248339,240.0892308,998,50,19.96,32247334,373,4511,0.082686766,32248339,241.3929223,0,0,0.994786541
NM_027189,998,50,19.96,20158697,629,5374,0.117045032,20157692,170.532655,990,50,19.8,20158697,654,5785,0.113050994,20157692,175.1422018,0,0,0.832630381
NM_027560,1070,50,21.4,73363439,121,1835,0.065940054,73362619,324.5371901,895,50,17.9,73363439,136,1831,0.074276352,73362619,240.9919118,0,0,0.162280421
NM_028101,905,50,18.1,25966013,129,1036,0.124517375,25966988,145.3612403,806,50,16.12,25966013,140,1398,0.100143062,25966988,160.9697143,0,0,0.452807904
NM_028696,1115,50,22.3,51535243,1195,6781,0.176227695,51534243,126.5408368,1045,50,20.9,51535243,1003,6588,0.152246509,51534243,137.2773679,0,0,0.300321507
NM_029767,3601,50,72.02,3655633,1425,1628,0.875307125,3656643,82.27969123,3530,50,70.6,3655633,1126,1662,0.677496992,3656643,104.2071048,0,0,0.000153881
NM_052835,1694,50,33.88,71516195,555,919,0.603917301,71517155,56.1003964,1567,50,31.34,71516195,373,902,0.413525499,71517155,75.78734584,0,0,0.000779969
NM_144958,1750,50,35,69485825,3143,3537,0.888606163,69484925,39.38752784,1891,50,37.82,69485825,2734,3583,0.763047725,69484925,49.56439649,0,0,1.93E-05
NM_153526,1338,50,26.76,28397902,4324,5586,0.774078052,28398952,34.57015726,1326,50,26.52,28397897,2927,5462,0.535884291,28398952,49.48829518,0,0,2.45E-14
NM_175934,1996,50,39.92,36053926,18507,11391,1.624703713,36054856,24.57063381,2293,50,45.86,36053926,18563,11336,1.637526464,36054856,28.00565426,0,0,0.000846311
NM_184053,1648,50,32.96,29298199,3651,22893,0.159481064,29299119,206.670304,1296,50,25.92,29298174,3887,23680,0.164146959,29299119,157.9072807,0,0,9.66E-10
NR_002840,4271,50,85.42,162965292,4723,2372,1.991146712,162966297,42.8999026,5939,50,118.78,162965292,3906,2371,1.647406158,162966297,72.10122376,0,0,8.44E-66
NR_002896,3191,50,63.82,8797977,3042,1840,1.65326087,8798977,38.60249836,2449,50,48.98,8797977,2377,1840,1.291847826,8798977,37.91468237,0,0,0.9061356
NR_027819,1360,50,27.2,116532979,898,2922,0.307323751,116533974,88.50601336,1320,50,26.4,116532979,913,2998,0.304536358,116533974,86.68915663,0,0,0.781095726
NR_027820,1360,50,27.2,116532979,898,2922,0.307323751,116533974,88.50601336,1320,50,26.4,116532979,913,2998,0.304536358,116533974,86.68915663,0,0,0.781095726
NR_027821,1360,50,27.2,116532979,898,2922,0.307323751,116533974,88.50601336,1320,50,26.4,116532979,913,2998,0.304536358,116533974,86.68915663,0,0,0.781095726
NR_027987,1232,50,24.64,27504642,93,962,0.096673597,27505527,254.8782796,982,50,19.64,27504642,81,1140,0.071052632,27505527,276.4148148,0,0,0.865891543
NR_029468,2633,50,52.66,131864588,699,1342,0.520864382,131865593,101.1011731,2057,50,41.14,131864583,614,1347,0.455827765,131865593,90.25338762,0,0,0.276059709
NR_040721,4516,50,90.32,88417690,397,611,0.649754501,88416735,139.0063476,3285,50,65.7,88417730,286,603,0.474295191,88416735,138.5213287,0,0,1
NM_011543,860,50,17.2,52045537,930,9604,0.096834652,52046497,177.6223656,976,50,19.52,52045537,1070,10238,0.1045126,52046497,186.7717383,7.84E-298,0,0.998869134
NM_001081005,1234,50,24.68,166888714,2910,1789,1.626607043,166889434,15.17268729,1273,50,25.46,166888714,2370,1798,1.318131257,166889434,19.31522363,5.10E-276,0.00E+00,6.41E-05
NM_001123037,979,50,19.58,23107827,4551,4871,0.934305071,23108552,20.95675236,1186,50,23.72,23107827,4018,4924,0.816003249,23108552,29.0685117,3.73E-235,0.00E+00,9.77E-09
NM_001123038,979,50,19.58,23107827,4551,4871,0.934305071,23108552,20.95675236,1186,50,23.72,23107827,4018,4924,0.816003249,23108552,29.0685117,3.73E-235,0.00E+00,9.77E-09
NM_013506,979,50,19.58,23107827,4551,4871,0.934305071,23108552,20.95675236,1186,50,23.72,23107827,4018,4924,0.816003249,23108552,29.0685117,3.73E-235,0.00E+00,9.77E-09
NM_013762,1279,50,25.58,79913786,4282,4079,1.0497671,79912836,24.36730967,1411,50,28.22,79913786,3791,4103,0.923958079,79912836,30.54251121,1.97626258336499e-321,0,4.85E-05
NR_033782,748,50,14.96,179711583,52,793,0.06557377,179712558,228.14,784,50,15.68,179711583,86,886,0.097065463,179712558,161.5404651,2.57161168660369e-319,0,0.096141247
NM_012052,1302,50,26.04,106632144,2139,4654,0.459604641,106631219,56.6573913,1047,50,20.94,106632144,1998,4651,0.429585035,106631219,48.74471471,0,2.44E-306,0.04327981
NM_175652,763,50,15.26,136752922,230,840,0.273809524,136751952,55.73217391,835,50,16.7,136752942,214,947,0.225976769,136751952,73.90140187,5.36E-257,2.98E-298,0.425751396
NM_009128,1740,50,34.8,44368571,10455,11838,0.883172833,44369166,39.40338594,1142,50,22.84,44368571,7932,11761,0.674432446,44369166,33.86551185,0,3.97E-297,0.007285092
NR_045686,830,50,16.6,59623847,147,1819,0.080813634,59624582,205.4108844,700,50,14,59623842,144,2521,0.05712019,59624582,245.0972222,0,1.35E-296,0.589272999
NM_011311,1092,50,21.84,90407702,1059,1276,0.829937304,90408692,26.31524079,1060,50,21.2,90407687,935,1269,0.73680063,90408692,28.77304813,8.44E-297,2.45E-295,0.429662063
NM_001177792,807,50,16.14,120393447,874,14893,0.058685288,120394407,275.0263387,829,50,16.58,120393442,968,16903,0.057267941,120394407,289.5162603,6.49E-284,8.07E-291,0.622288282
NM_001177793,807,50,16.14,120393447,874,14893,0.058685288,120394407,275.0263387,829,50,16.58,120393442,968,16903,0.057267941,120394407,289.5162603,6.49E-284,8.07E-291,0.622288282
NM_009222,807,50,16.14,120393447,874,14893,0.058685288,120394407,275.0263387,829,50,16.58,120393442,968,16903,0.057267941,120394407,289.5162603,6.49E-284,8.07E-291,0.622288282
NR_002847,1638,50,32.76,5802381,13517,5982,2.25961217,5801671,14.49806318,1483,50,29.66,5802381,16038,5975,2.6841841,5801671,11.04991271,0,7.12E-289,2.05E-10
NM_019653,1300,50,26,79068147,3441,13034,0.264001841,79067197,98.48416158,964,50,19.28,79068177,3255,13047,0.24948264,79067197,77.27992627,0,7.41E-285,3.97E-05
NM_001190322,800,50,16,3866056,385,3073,0.125284738,3867061,127.7090909,764,50,15.28,3866056,355,3062,0.115937296,3867061,131.7953803,7.39E-296,2.82E-284,0.944634253
NM_181391,800,50,16,3866056,385,3073,0.125284738,3867061,127.7090909,764,50,15.28,3866056,355,3062,0.115937296,3867061,131.7953803,7.39E-296,2.82E-284,0.944634253
NR_040438,1153,50,23.06,171899630,93,1265,0.073517787,171900540,313.6655914,648,50,12.96,171899580,43,905,0.047513812,171900540,272.7627907,0,1.73E-283,0.696497393
