	chr11:70507701-70507923:-	chr11:70505933-70506057:-	chr11:70348901-70349036:-	chr11:70348311-70348391:-	chr11:70346675-70346698:-	chr11:70338440-70338570:-	chr11:70336271-70336492:-	chr11:70335433-70335453:-	chr11:70331419-70333825:-	chr11:70313962-70319544:-
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-5149-01A-01R-1514-07__expression_exon.txt	2.297857421	3.768851015	3.951643954	4.718819478	3.425329328	5.039738499	4.788207645	4.237520818	5.96716696	6.22159592
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-5151-01A-01R-1436-07__expression_exon.txt	0.508532013	0.386373918	0.64467606	0.860284458	0.710246172	0.806030007	0.789873371	0.710246172	0.987190705	0.936054332
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-5153-01A-01R-1436-07__expression_exon.txt	0.13675371	0.068482419	0	0	0	0.06534582	0.111663104	0.178339633	0.001407749	0.01226624
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-5556-01A-01R-1514-07__expression_exon.txt	0.163087848	0.460595557	0.737616018	0.800323304	0.988874049	0.832029734	0.712702017	0.659249366	1.018682236	0.87642104
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-5558-01A-01R-1514-07__expression_exon.txt	0.543475757	0.540874436	0.710900335	0.799493784	0.570061589	0.62489194	0.704103098	0.570061589	1.146896656	0.819957475
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-5559-01A-01R-1514-07__expression_exon.txt	0	0.007796518	0.133286064	0.140770467	0.097456477	0.13316572	0.097456477	0.097456477	0.15576031	0.141864372
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-6868-01B-12R-1915-07__expression_exon.txt	0.743671187	1.031577176	1.625657104	2.198138897	1.731996602	2.247629178	1.946155641	1.558796941	2.803467121	4.935926622
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-6869-01A-11R-1873-07__expression_exon.txt	0	0	0	0.028673134	0.116126195	0.042550056	0.014646547	0	0.092630783	0.159743717
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-6871-01A-11R-1873-07__expression_exon.txt	0.188406423	0.115195048	0.527938627	0.493129486	0.493129486	0.653490678	0.66772398	0.596451855	0.984169268	1.271131124
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-6873-01A-11R-1873-07__expression_exon.txt	0.300244777	0.409307276	0.283312271	0.460088578	0.21054901	0.319841626	0.373677072	0.21054901	0.63357145	0.565800967
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BA-7269-01A-11R-2016-07__expression_exon.txt	0.029295624	0.203647017	2.36536911	2.36536911	2.36536911	2.36536911	2.36536911	2.36536911	2.36536911	6.092041503
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BB-4217-01A-11R-2081-07__expression_exon.txt	0.269461949	0.22912828	1.185943666	1.217469318	1.123177845	1.205487061	1.220317551	1.123177845	1.346413525	10.75196846
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BB-4224-01A-01R-1436-07__expression_exon.txt	0.065348412	0.077377146	0.094824934	0.070053383	0	0.330772533	0.055767312	0	0.173913735	1.177611882
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BB-4225-01A-01R-1436-07__expression_exon.txt	0	0	0.120976466	0.120976466	0.120976466	0.231794602	0.241407992	0.426298022	0.187269759	0.181648883
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-BB-4228-01A-01R-1436-07__expression_exon.txt	0	0	0.129701524	0.129701524	0.129701524	0.191086978	0.151902686	0.129701524	0.218611999	0.193588178
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4723-01A-01R-1436-07__expression_exon.txt	0.642717147	0.779281071	0.732027437	0.848967963	0.750959181	0.599457056	0.28994563	0.214559766	0.906196337	0.842367099
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4725-01A-01R-1436-07__expression_exon.txt	0.409435641	0.616098178	0.623161117	0.452907593	0.386881983	0.52881399	0.629016387	0.546186328	0.662480675	0.783799719
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4727-01A-01R-1436-07__expression_exon.txt	0	0	0.166726345	0.166726345	0.166726345	0.166726345	0.166726345	0.166726345	0.173376004	0.192528166
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4731-01A-01R-1436-07__expression_exon.txt	0.742125545	0.347095729	0.329528516	0.636675743	0.779406577	0.728834394	0.939149816	0.909307673	1.232090579	1.06066118
