	chr11:70507923-70507701:-	chr11:70506057-70505933:-	chr11:70349036-70348901:-	chr11:70348391-70348311:-	chr11:70346698-70346675:-	chr11:70338570-70338440:-	chr11:70336492-70336271:-	chr11:70335453-70335433:-	chr11:70333825-70331419:-	chr11:70319544-70313962:-
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-4074-01A-01R-1436-07__expression_exon.txt	0.300866601	0.940962152	0.389793766	0.221138786	0	0.214191303	0.132455258	0.004930427	0.308078977	1.284194781
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-4075-01A-01R-1436-07__expression_exon.txt	0.493600331	0.999770179	0.63408409	0.499859123	0	0.681031419	0.240806124	0	0.881473713	1.984538075
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-4076-01A-01R-1436-07__expression_exon.txt	0.253845677	0.599501291	0.326378938	0.321697039	0	0.197540104	0.195086918	0	0.289606143	0.454464946
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-4077-01B-01R-1436-07__expression_exon.txt	0.387199017	0.808804833	1.096997811	0.901820537	0	0.955314147	0.189548247	0	0.936926067	1.167926484
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-4078-01A-01R-1436-07__expression_exon.txt	0.489341131	1.208021902	0.957067751	0.740352286	0	0.763959064	0.448147671	0	1.0945921	2.178224805
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5149-01A-01R-1514-07__expression_exon.txt	1.940128886	6.056663757	4.212412154	3.775375605	0.244197806	3.852306938	1.49818654	0.069770802	4.728442888	5.491685673
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5151-01A-01R-1436-07__expression_exon.txt	0.570713332	1.09702356	0.496897686	0.482431889	0.007468842	0.722482213	0.289064384	0.042679099	0.767425876	0.822832847
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5152-01A-02R-1873-07__expression_exon.txt	0.034069878	0	0.066505452	0	0	0	0	0	0.071395965	0.306545939
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5153-01A-01R-1436-07__expression_exon.txt	0.026796706	0.148042292	0	0	0	0.070630865	0	0	0	0.01325831
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5555-01A-01R-1514-07__expression_exon.txt	0.039005816	0.147359384	0.119451094	0.252673841	0	0.313443347	0.036876723	0	0.107349641	0.184668462
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5556-01A-01R-1514-07__expression_exon.txt	0.200059663	0.675781862	0.340586946	0.422867794	0	0.191681074	0.059299918	0	0.420578295	0.24819884
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5557-01A-01R-1514-07__expression_exon.txt	0.204917527	0.508258198	0.476577776	0.372745705	0	0.332811412	0.266227484	0	0.695999299	0.487673034
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5558-01A-01R-1514-07__expression_exon.txt	0.422614249	1.11217127	0.856632524	0.977077455	0	0.71543739	0.428036021	0.024794259	1.254919636	0.83657974
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-5559-01A-01R-1514-07__expression_exon.txt	0	0.049836066	0.039487248	0.104753332	0	0.043454059	0.023222771	0	0.064300398	0.049864692
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-6868-01B-12R-1915-07__expression_exon.txt	0.711191897	2.102102711	1.422654444	1.837333643	0	1.357604395	0.703391221	0.046532228	2.043261647	3.915655739
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-6869-01A-11R-1873-07__expression_exon.txt	0.05127857	0.117618388	0	0.07394846	0	0.074820857	0.017169851	0	0.108589196	0.196627551
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-6870-01A-11R-1873-07__expression_exon.txt	0.317150338	0.88066705	0.560951486	0.369742657	0	0.160651544	0.072922219	0.014454225	0.441289246	1.856463129
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-6871-01A-11R-1873-07__expression_exon.txt	0.309957897	0.30386569	0.097426157	0.130863777	0	0.105359076	0.104945233	0	0.446527784	0.782347923
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-6872-01A-11R-1873-07__expression_exon.txt	0.92901922	3.416929111	1.931297549	2.119071648	0	1.645449918	0.781266154	0.04752071	2.437913096	8.490114855
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-6873-01A-11R-1873-07__expression_exon.txt	0.347879299	0.628139295	0.24199625	0.278615789	0	0.122027335	0.182135659	0	0.49565497	0.410793604
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BA-7269-01A-11R-2016-07__expression_exon.txt	0.046179216	0.265981727	0	0	0	0	0	0	0	0.186955458
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BB-4217-01A-11R-2081-07__expression_exon.txt	0.304256569	0.353470493	0.141614781	0.135204235	0	0.184495592	0.108869021	0	0.279895603	0.496213998
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BB-4223-01A-01R-1436-07__expression_exon.txt	0.143142016	0.328970666	0.125639314	0.445081232	0	0.097467693	0.023682532	0	0.208519147	0.178015303
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BB-4224-01A-01R-1436-07__expression_exon.txt	0.141398575	0.09052215	0.115371367	0.08195421	0	0.386964915	0.065241189	0	0.207470098	1.417391272
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BB-4225-01A-01R-1436-07__expression_exon.txt	0	0	0	0	0	0.120534868	0.047417621	0	0.076479382	0.067170716
unc.edu__IlluminaHiSeq_RNASeq__TCGA-BB-4228-01A-01R-1436-07__expression_exon.txt	0.025922314	0.011561352	0.030816104	0.037467345	0	0.068397313	0.024737128	0	0.099066427	0.081538285
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4722-01A-01R-1436-07__expression_exon.txt	0	0.128670342	0.160872711	0.042341139	0	0	0.024504984	0.02252632	0.061416277	0.049779416
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4723-01A-01R-1436-07__expression_exon.txt	0.458461826	1.300750102	1.29879376	1.219605291	0	0.705212364	0.261335184	0	1.069547671	1.013811678
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4725-01A-01R-1436-07__expression_exon.txt	0.291484738	0.724907753	0.550711662	0.309015717	0	0.3999156	0.227246002	0.03695869	0.5004394	0.764142272
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4726-01A-01R-1436-07__expression_exon.txt	0.441136146	0.955914223	0.359818385	0.833795283	0	0.67034658	0.286860023	0	0.898158587	2.242173031
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4727-01A-01R-1436-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.007364787	0.031751823
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4728-01A-01R-1436-07__expression_exon.txt	0.158541009	0.326001064	0.089785597	0.446994619	0	0.234115188	0.035816421	0	0.395226309	0.417058399
