HOMERcalled.RefSeq.ID,SH.1.promoter.count,SH.1.promoter.50bp,SH.1.promoter.density,SH.1.promoter.StartSite,SH.1.body.count,SH.1.mappable.length,SH.1.body.density,SH.1.body.StartSite,SH.1.pausing.ratio,SH.2.promoter.count,SH.2.promoter.50bp,SH.2.promoter.density,SH.2.promoter.StartSite,SH.2.body.count,SH.2.mappable.length,SH.2.body.density,SH.2.body.StartSite,SH.2.pausing.ratio,SH-1-Pausing-pValue,SH-2-Pausing-pValue,SH-1-2-Change-pValue,,,
NM_010828,2338,50,46.76,17443024,88,1122,0.078431373,17444034,596.19,1360,50,27.2,17443024,89,1101,0.080835604,17444034,336.4853933,0,0,0.017441932,,,
NR_002840,3151,50,63.02,162965292,852,2372,0.359190556,162966297,175.4500469,1947,50,38.94,162965292,807,2372,0.340219224,162966297,114.4556134,0,0,8.94E-11,,,
NR_040721,3090,50,61.8,88417730,46,668,0.068862275,88416735,897.4434783,2380,50,47.6,88417730,46,563,0.081705151,88416735,582.5826087,0,0,0.789028053,,,
NR_046233,58691,50,1173.82,39980387,4022451,4833,832.2886406,39980942,1.410352061,16825,50,336.5,39980322,3838864,4833,794.3025036,39980942,0.423642124,0,0,0,,,
NR_033782,989,50,19.78,179711583,13,519,0.02504817,179712558,789.6784615,659,50,13.18,179711583,8,268,0.029850746,179712558,441.53,0,5.56E-248,1,,,
NM_153526,1151,50,23.02,28397897,503,4511,0.111505209,28398952,206.4477535,588,50,11.76,28397897,259,3448,0.075116009,28398952,156.5578378,0,3.87E-222,1,,,
NM_007837,1269,50,25.38,126727844,645,4328,0.149029575,126728849,170.3017674,607,50,12.14,126727844,516,4233,0.121899362,126728849,99.59034884,0,2.22E-205,1.60E-08,,,
NM_028047,728,50,14.56,25185032,207,7108,0.029122116,25185647,499.9636715,479,50,9.58,25185027,184,6826,0.026955757,25185647,355.3971739,0.00E+00,8.80E-193,0.150002697,,,
NM_010499,867,50,17.34,87186756,103,522,0.197318008,87185751,87.8784466,524,50,10.48,87186756,77,522,0.147509579,87185751,71.04623377,2.41503843515928e-314,9.85E-182,0.715979106,,,
NM_019869,729,50,14.58,4811604,330,6749,0.048896133,4810634,298.1830909,386,50,7.72,4811604,292,5755,0.050738488,4810634,152.1527397,1.22E-286,7.41E-136,9.93E-05,,,
NM_025928,303,50,6.06,88214003,110,4311,0.025516122,88213238,237.4969091,328,50,6.56,88214013,94,4328,0.021719039,88213238,302.0391489,6.86E-120,1.16E-134,0.640121745,,,
NM_133358,378,50,7.56,74446989,158,4205,0.037574316,74447724,201.2012658,344,50,6.88,74446989,139,4241,0.032775289,74447724,209.9142446,8.60E-147,1.10E-132,1,,,
NM_008302,591,50,11.82,45710220,461,3807,0.121092724,45709210,97.61114967,401,50,8.02,45710220,431,4132,0.104307841,45709210,76.88779582,4.15E-201,2.20E-128,0.021466891,,,
NM_009302,415,50,8.3,117365242,901,30916,0.029143486,117366217,284.7977802,368,50,7.36,117365247,836,29366,0.028468297,117366217,258.5332057,2.11E-135,3.18E-118,1,,,
NM_181043,1170,50,23.4,45485106,934,14919,0.062604732,45486326,373.7736617,357,50,7.14,45485106,551,12017,0.04585171,45486326,155.7193829,0,5.97E-116,3.86E-13,,,
NM_153789,1170,50,23.4,45485106,986,16182,0.0609319,45486111,384.0352941,357,50,7.14,45485106,572,12738,0.044905009,45486111,159.0023077,0,1.92E-115,1.07E-12,,,
NM_138593,271,50,5.42,127255847,80,3356,0.023837902,127255267,227.369,260,50,5.2,127255837,46,2217,0.02074876,127255267,250.6173913,8.20E-110,2.61E-109,0.16484805,,,
NM_001159375,584,50,11.68,69485825,616,3594,0.171396772,69484925,68.14597403,362,50,7.24,69485820,501,3584,0.139787946,69484925,51.79273453,1.08E-186,8.50E-108,0.059144462,,,
NM_144958,584,50,11.68,69485825,616,3594,0.171396772,69484925,68.14597403,362,50,7.24,69485820,501,3584,0.139787946,69484925,51.79273453,1.08E-186,8.50E-108,0.059144462,,,
NR_038151,538,50,10.76,33954541,6,98,0.06122449,33955546,175.7466667,431,50,8.62,33954541,6,98,0.06122449,33955546,140.7933333,6.14E-135,1.27E-105,1,,,
NR_038152,538,50,10.76,33954541,6,98,0.06122449,33955546,175.7466667,431,50,8.62,33954541,6,98,0.06122449,33955546,140.7933333,6.14E-135,1.27E-105,1,,,
NM_026686,354,50,7.08,26012085,14,283,0.049469965,26013445,143.1171429,298,50,5.96,26012070,5,238,0.021008403,26013445,283.696,4.48E-125,4.32E-105,0.541730056,,,
NM_172462,393,50,7.86,130175933,116,5128,0.022620905,130174963,347.4662069,262,50,5.24,130175968,79,3290,0.024012158,130174963,218.2227848,2.43E-163,6.54E-105,1,,,
NM_001177374,365,50,7.3,47147496,1802,49772,0.036205095,47146481,201.6290788,343,50,6.86,47147506,1470,41375,0.035528701,47146481,193.0833333,5.05E-111,2.18E-104,0.518992225,,,
NM_146078,365,50,7.3,47147496,1802,49772,0.036205095,47146481,201.6290788,343,50,6.86,47147506,1470,41375,0.035528701,47146481,193.0833333,5.05E-111,2.18E-104,0.518992225,,,
NM_011919,529,50,10.58,11556061,174,3658,0.047566976,11557066,222.4232184,273,50,5.46,11556061,114,2609,0.043694902,11557066,124.9573684,1.06E-212,3.59E-101,0.525506301,,,
NM_011018,482,50,9.64,50024297,653,8539,0.076472655,50023292,126.0581317,318,50,6.36,50024297,543,7850,0.069171975,50023292,91.94475138,1.08E-157,9.98E-100,0.164220122,,,
NM_198424,394,50,7.88,134913329,305,3729,0.081791365,134914329,96.34268852,300,50,6,134913329,238,3325,0.071578947,134914329,83.82352941,1.28E-134,9.98E-100,1,,,
NM_001185162,248,50,4.96,32247333,93,3510,0.026495726,32248313,187.2,239,50,4.78,32247333,47,2535,0.018540434,32248313,257.8148936,4.96E-96,1.10E-99,0.038445454,,,
NM_001025566,509,50,10.18,3851833,124,4773,0.025979468,3852773,391.8479032,264,50,5.28,3851833,130,4428,0.029358627,3852773,179.8449231,5.21E-217,1.92E-99,0.000254421,,,
NM_026898,248,50,4.96,32247334,91,3495,0.026037196,32248339,190.4967033,238,50,4.76,32247334,47,2535,0.018540434,32248339,256.7361702,2.30E-96,3.43E-99,0.047431664,,,
NM_007589,508,50,10.16,87846210,588,9125,0.064438356,87845275,157.670068,313,50,6.26,87846210,491,8242,0.059572919,87845275,105.0813035,4.44E-172,4.25E-99,0.038365104,,,
NM_026220,240,50,4.8,121332402,18,650,0.027692308,121331392,173.3333333,248,50,4.96,121332397,13,526,0.024714829,121331392,200.6892308,2.03E-97,4.98E-99,0.906811243,,,
NM_019653,851,50,17.02,79068182,850,11851,0.071723905,79067197,237.2988471,321,50,6.42,79068182,662,10046,0.065896874,79067197,97.42495468,1.22E-300,1.13E-98,2.78E-15,,,
NM_145546,559,50,11.18,142428186,232,7734,0.029997414,142429211,372.6987931,274,50,5.48,142428186,202,6168,0.032749676,142429211,167.329901,1.73E-224,4.11E-97,0.000306192,,,
NR_045268,343,50,6.86,125566520,28,806,0.034739454,125567475,197.47,265,50,5.3,125566520,27,516,0.052325581,125567475,101.2888889,1.69E-142,4.14E-97,0.982267836,,,
NM_008945,415,50,8.3,94690865,44,1051,0.041864891,94689880,198.2568182,242,50,4.84,94690860,35,1004,0.034860558,94689880,138.8388571,3.47E-174,5.32E-96,0.757951786,,,
NM_001134460,161,50,3.22,92431136,1137,44242,0.025699562,92430386,125.2939666,290,50,5.8,92431141,468,21641,0.021625618,92430386,268.2004274,1.03E-47,7.17E-96,3.50E-37,,,
NM_001048061,516,50,10.32,51420353,492,5320,0.092481203,51419383,111.5902439,320,50,6.4,51420353,567,5450,0.104036697,51419383,61.51675485,6.52E-175,9.40E-96,2.22E-08,,,
